seed_index,scheme,cycle_index,in_fade,pdu_index,end_to_end_ok,completion_latency_s_ms,delivered_latency_s_ms,fade_penalty_db,fade_duration_cycles,cycle_retransmissions_path_a,cycle_retransmissions_path_b,backup_engaged,cycle_queue_delay_ms
0,Baseline,0,False,0,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,1,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,2,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,3,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,4,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,5,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,6,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,7,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,8,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,9,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,10,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,11,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,12,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,13,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,14,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,15,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,16,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,17,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,18,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,19,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,20,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,21,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,22,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,23,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,24,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,25,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,26,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,27,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,28,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,29,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,30,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,0,False,31,True,1.0570175438596492,1.0570175438596492,3.0791468550554812,8,0,,False,0.0
0,Baseline,1,False,0,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,1,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,2,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,3,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,4,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,5,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,6,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
